school,school_fna,site,city,state,seed,overall_se,year,id,result_num,osm_id,display_na,category,type,latlong,_distance
Gonzaga University,Gonzaga,"Boise, ID",Spokane,WA,4,,2018,201810,0,203312074,"Gonzaga University, North Cincinnati Street, Logan, East Empire, Spokane, Spokane County, Washington, 99258, United States of America",amenity,university,"47.666738550000005,-117.40304385396806",430
,,,Boise,ID,,,,201810,0,121360,"Boise, Ada County, Idaho, United States of America",place,city,"43.6166163,-116.200886",430
University of Michigan,Michigan,"Wichita, KS",Ann Arbor,MI,3,,2018,201811,0,3990210,"University of Michigan, 500, South State Street, Ann Arbor, Washtenaw County, Michigan, 48109, United States of America",amenity,university,"42.2942142,-83.71003893509601",1187
,,,Wichita,KS,,,,201811,0,129814,"Wichita, Sedgwick County, Kansas, United States of America",place,city,"37.6922361,-97.3375448",1187
University of North Carolina,North Carolina,"Charlotte, NC",Chapel Hill,NC,2,,2018,201812,0,44342484,"Ackland Art Museum, 101, South Columbia Street, Baby Hollow, Chapel Hill, Orange County, North Carolina, 27514, United States of America",tourism,museum,"35.91256775,-79.05488922145403",167
,,,Charlotte,NC,,,,201812,0,177415,"Charlotte, Mecklenburg County, North Carolina, United States of America",place,city,"35.2270869,-80.8431268",167
University of Virginia,Virginia,"Charlotte, NC",Charlottesville,VA,1,,2018,201813,0,4218705,"University of Virginia, Old Farm Road, Charlottesville, Virginia, 22903, United States of America",amenity,university,"38.0410576,-78.50549960183568",352
,,,Charlotte,NC,,,,201813,0,177415,"Charlotte, Mecklenburg County, North Carolina, United States of America",place,city,"35.2270869,-80.8431268",352
University of Arizona,Arizona,"Boise, ID",Tucson,AZ,4,,2018,201814,0,664244987,"University of Arizona, North Anita Avenue, Barrio Anita, Tucson, Pima County, Arizona, 85703, United States of America",amenity,university,"32.22877495,-110.9768841153795",1257
,,,Boise,ID,,,,201814,0,121360,"Boise, Ada County, Idaho, United States of America",place,city,"43.6166163,-116.200886",1257
University of Tennessee,Tennessee,"Dallas, TX",Knoxville,TN,3,,2018,201815,0,3730928507,"University of Tennessee, Volunteer Boulevard, Fort Sanders, Knoxville, Knox County, Tennessee, 37916, United States of America",amenity,university,"35.9514387,-83.9306794",1154
,,,Dallas,TX,,,,201815,0,6571629,"Dallas, Dallas County, Texas, United States of America",place,city,"32.7762719,-96.7968559",1154
University of Cincinnati,Cincinatti,"Nashville, TN",Cincinnati,OH,2,,2018,201816,0,2991321,"University of Cincinnati, Euclid Avenue, Pill Hill, Corryville, Cincinnati, Hamilton County, Ohio, 45219-2364, United States of America",amenity,university,"39.1318525,-84.5157620959388",360
,,,Nashville,TN,,,,201816,0,197472,"Nashville-Davidson, Davidson County, Tennessee, United States of America",place,city,"36.1622296,-86.7743531",360
