Rk,School,City State,From,To,Yrs,G,W,L,W-L%,SRS,SOS,AP,CREG,CTRN,NCAA,FF,NC
127,Florida Atlantic Owls,Boca Raton Florida,1994,2020,27,796,294,502,.369,-9.12,-3.37,0,1,1,1,0,0
128,Florida Gators,Gainesville Florida,1921,2020,99,2570,1446,1123,.563,7.89,4.92,15,9,4,22,5,2
129,Florida Gulf Coast Eagles,Fort Myers Florida,2011,2020,10,327,186,141,.569,-2.68,-3.52,0,3,3,3,0,0
130,Florida International Panthers,Miami Florida,1988,2020,33,976,395,581,.405,-8.05,-3.33,0,1,1,1,0,0
131,Florida State Seminoles,Tallahassee Florida,1957,2020,64,1883,1121,762,.595,7.53,4.89,10,2,2,17,1,0
132,Fordham Rams,Bronx New York,1903,2020,116,2925,1525,1400,.521,-2.76,-0.28,1,4,4,4,0,0
133,Franklin Grizzlies,Franklin Indiana,1907,1925,18,221,144,77,.652,,,0,0,0,,,
134,Fresno State Bulldogs,Fresno California,1956,2020,53,1592,894,698,.562,2.53,1.75,1,6,5,6,0,0
135,Furman Paladins,Greenville South Carolina,1920,2020,99,2514,1261,1253,.502,-6.15,-4.16,0,6,6,6,0,0
136,Gardner-Webb Runnin' Bulldogs,Boiling Springs North Carolina,2003,2020,18,558,258,300,.462,-8.23,-4.59,0,1,1,1,0,0
137,Geneva Golden Tornadoes,Beaver Falls Pennsylvania,1893,1943,10,125,80,45,.640,,,0,0,0,0,0,0
138,George Mason Patriots,Fairfax Virginia,1979,2020,42,1259,677,582,.538,-1.32,-1.58,0,4,4,6,1,0
139,George Washington Colonials,Washington D.C.,1913,2020,103,2523,1359,1164,.539,0.26,-0.13,3,7,5,11,0,0
140,Georgetown Hoyas,Washington D.C.,1907,2020,112,2748,1685,1063,.613,6.78,3.85,20,11,7,30,5,1
141,Georgia Bulldogs,Athens Georgia,1906,2020,115,2758,1435,1323,.520,3.91,4.86,5,3,3,12,1,0
142,Georgia Southern Eagles,Statesboro Georgia,1972,2020,49,1422,727,695,.511,-6.62,-4.97,0,7,3,3,0,0
143,Georgia State Panthers,Atlanta Georgia,1974,2020,47,1370,608,762,.444,-7.15,-3.81,0,7,5,5,0,0
144,Georgia Tech Yellow Jackets,Atlanta Georgia,1920,2020,101,2618,1377,1241,.526,5.56,5.15,8,3,4,16,2,0
145,Gettysburg Bullets,Gettysburg Pennsylvania,1901,1973,41,724,385,339,.532,-15.98,-9.80,0,0,0,0,0,0
146,Gonzaga Bulldogs,Spokane Washington,1944,2020,69,2029,1328,701,.655,3.27,-0.30,12,24,17,22,1,0
147,Grambling Tigers,Grambling Louisiana,1978,2020,43,1218,455,763,.374,-17.40,-9.32,0,3,0,0,0,0
148,Grand Canyon Antelopes,Phoenix Arizona,2014,2020,7,217,132,85,.608,-1.40,-3.96,0,0,0,0,0,0
149,Green Bay Phoenix,Green Bay Wisconsin,1982,2020,39,1184,651,533,.550,-0.51,-1.12,0,4,4,5,0,0
150,Grinnell Pioneers,Grinnell Iowa,1901,1939,38,550,280,270,.509,,,0,0,0,0,0,0
151,Grove City Wolverines,Grove City Pennsylvania,1899,1925,27,383,257,126,.671,,,0,0,0,,,
152,Hamline Pipers,St. Paul Minnesota,1945,1948,4,102,82,20,.804,,,0,0,0,0,0,0
153,Hampton Pirates,Hampton Virginia,1996,2020,25,763,401,362,.526,-8.96,-8.75,0,4,6,6,0,0
154,Hardin-Simmons Cowboys,Abilene Texas,1923,1990,45,1149,481,668,.419,-11.08,-5.70,0,1,0,2,0,0
155,Hartford Hawks,West Hartford Connecticut,1985,2020,36,1062,449,613,.423,-9.04,-5.40,0,0,0,0,0,0
156,Harvard Crimson,Boston Massachusetts,1901,2020,109,2502,1166,1336,.466,-8.17,-4.89,0,7,0,5,0,0
157,Haskell (KS) Fighting Indians,Lawrence Kansas,1903,1908,2,39,27,12,.692,,,0,0,0,,,
158,Hawaii Rainbow Warriors,Honolulu Hawaii,1971,2020,50,1459,772,687,.529,2.11,1.89,1,3,4,5,0,0
159,High Point Panthers,High Point North Carolina,2000,2020,21,629,301,328,.479,-9.33,-6.13,0,4,0,0,0,0
160,Hiram Terriers,Hiram Ohio,1894,1904,8,59,45,14,.763,,,0,0,0,,,
161,Hofstra Pride,Hempstead New York,1943,2020,55,1587,818,769,.515,-5.95,-4.43,0,8,5,4,0,0
162,Holy Cross Crusaders,Worcester Massachusetts,1901,2020,100,2430,1415,1015,.582,-2.05,-3.86,6,6,7,13,2,1
163,Hope Flying Dutchmen,Holland Michigan,1908,1913,5,65,44,21,.677,,,0,0,0,,,
164,Houston Baptist Huskies,Houston Texas,1974,2020,26,740,306,434,.414,-11.56,-5.85,0,2,1,1,0,0
165,Houston Cougars,Houston Texas,1951,2020,70,2061,1241,820,.602,5.67,2.72,9,5,6,21,5,0
