Rk,School,City State,From,To,Yrs,G,W,L,W-L%,SRS,SOS,AP,CREG,CTRN,NCAA,FF,NC
453,West Texas A&M Buffaloes,Canyon Texas,1921,1986,54,1275,707,568,.555,-6.34,-1.65,0,4,0,1,0,0
454,West Virginia Mountaineers,Morgantown West Virginia,1904,2020,111,2893,1789,1104,.618,7.26,2.61,17,16,13,29,2,0
455,Western Carolina Catamounts,Cullowhee North Carolina,1977,2020,44,1286,565,721,.439,-8.54,-3.81,0,3,1,1,0,0
456,Western Colorado Mountaineers,Gunnison Colorado,1924,1937,14,189,88,101,.466,,,0,0,0,,,
457,Western Illinois Leathernecks,Macomb Illinois,1982,2020,39,1111,459,652,.413,-8.60,-3.66,0,2,1,0,0,0
458,Western Kentucky Hilltoppers,Bowling Green Kentucky,1922,2020,99,2739,1806,933,.659,3.33,-0.14,11,28,19,23,1,0
459,Western Michigan Broncos,Kalamazoo Michigan,1914,2020,107,2570,1344,1225,.523,-2.68,-0.13,1,10,2,4,0,0
460,Westminster (MO) Blue Jays,Fulton Missouri,1920,1920,1,17,17,0,1.000,,,0,0,0,,,
461,Westminster (PA) Titans,New Wilmington Pennsylvania,1898,1935,21,294,210,84,.714,,,0,0,0,,,
462,Wheaton (IL) Thunder,Wheaton Illinois,1902,1905,4,57,39,17,.696,,,0,0,0,,,
463,Whittier Poets,Whittier California,1909,1915,3,42,38,3,.927,,,0,0,0,,,
464,Wichita State Shockers,Wichita Kansas,1906,2020,113,2810,1603,1207,.570,6.07,3.24,8,11,4,15,2,0
465,Widener Pride,Chester Pennsylvania,1899,1909,5,26,20,6,.769,,,0,0,0,,,
466,William & Mary Tribe,Williamsburg Virginia,1906,2020,115,2660,1249,1411,.470,-5.38,-2.60,0,3,0,0,0,0
467,Williams Ephs,Williamstown Massachusetts,1901,1911,10,161,136,24,.850,,,0,0,0,,,
468,Winthrop Eagles,Rock Hill South Carolina,1987,2020,34,1017,551,466,.542,-7.50,-6.73,1,9,11,10,0,0
469,Wisconsin Badgers,Madison Wisconsin,1899,2020,122,2851,1627,1224,.571,8.59,7.74,16,18,3,24,4,1
470,Wisconsin-Stevens Point Pointers,Stevens Point Wisconsin,1898,1918,21,156,98,58,.628,,,0,0,0,,,
471,Wisconsin-Superior Yellowjackets,Superior Wisconsin,1900,1901,2,14,10,4,.714,,,0,0,0,,,
472,Wittenberg Tigers,Springfield Ohio,1931,1931,1,20,18,2,.900,,,0,0,0,,,
473,Wofford Terriers,Spartanburg South Carolina,1996,2020,25,761,383,378,.503,-5.23,-2.78,1,4,5,5,0,0
474,Wooster Fighting Scots,Wooster Ohio,1901,1931,31,390,225,165,.577,,,0,0,0,,,
475,Worcester Tech Engineers,Worcester Massachusetts,1920,1920,1,16,14,2,.875,,,0,0,0,,,
476,Wright State Raiders,Dayton Ohio,1988,2020,33,995,549,446,.552,-1.56,-2.20,0,2,3,3,0,0
477,Wyoming Cowboys,Laramie Wyoming,1905,2020,115,2745,1543,1202,.562,2.68,2.70,4,21,3,15,1,1
478,Xavier Musketeers,Cincinnati Ohio,1920,2020,99,2518,1505,1013,.598,5.67,3.70,12,18,9,28,0,0
479,Yale Bulldogs,New Haven Connecticut,1896,2020,125,2982,1496,1483,.502,-6.39,-4.60,1,14,1,5,0,0
480,Youngstown State Penguins,Youngstown Ohio,1948,2020,40,1156,445,711,.385,-8.47,-3.20,0,0,0,0,0,0
