2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985
Fairleigh Dickinson,Penn,UC-Davis,Austin Peay,Hampton,Albany (NY),North Carolina A&T,Western Kentucky,UNC Asheville,ETSU,ETSU,Portland State,Eastern Kentucky,Southern,Montana,Alabama State,South Carolina State,Holy Cross,Monmouth,Valparaiso,Mount St. Mary's,Prairie View,Texas State,San Jose State,Colgate,North Carolina A&T,Wright State,Howard,Towson,Towson,McNeese State,Fairleigh Dickinson,Fairfield,North Carolina A&T,North Carolina A&T
49,60,62,79,56,55,48,66,51,71,62,61,65,54,77,61,54,59,52,38,53,52,46,72,68,79,54,67,86,68,71,79,58,46,83
"at Salt Lake City, UT","at Wichita, KS","at Tulsa, OK","at Des Moines, IA","at Louisville, KY","at Orlando, FL","at Lexington, KY","at Louisville, KY","at Washington, DC","at New Orleans, LA","at Dayton, OH","at Omaha, NE","at Winston-Salem, NC","at Greensboro, NC","at Boise, ID","at Raleigh, NC","at Oklahoma City, OK","at St. Louis, MO","at Greensboro, NC","at Cleveland, OH","at Milwaukee, WI","at Oklahoma City, OK","at Kansas City, MO","at Dallas, TX","at Dayton, OH","at Oklahoma City, OK","at Indianapolis, IN","at Dayton, OH","at Dayton, OH","at Austin, TX","at Indianapolis, IN","at South Bend, IN","at Indianapolis, IN","at Dayton, OH","at Tulsa, OK"
8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
Syracuse,Seton Hall,Miami (FL),Colorado,Cincinnati,Colorado,Colorado State,Iowa State,Butler,Texas,Oklahoma State,UNLV,Marquette,George Washington,Pacific,Seton Hall,California,Stanford,Georgia,Utah,Villanova,Rhode Island,Ole Miss,Green Bay,Western Kentucky,Illinois,New Orleans,Evansville,Georgia Tech,UNC,Pitt,Baylor,Auburn,Jacksonville,USC
69,94,58,67,66,48,84,77,60,80,77,71,49,88,79,80,76,84,68,48,70,97,40,48,82,77,55,50,87,83,64,60,62,50,55
9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
Baylor,NC State,Michigan State,UConn,Purdue,Pitt,Missouri,UConn,Old Dominion,Wake Forest,Tennessee,Kent State,Michigan State,UNC Wilmington,Pitt,Arizona,NC State,Western Kentucky,Missouri,Saint Louis,Ole Miss,Murray State,Temple,Virginia Tech,Michigan,Georgetown,Xavier,UTEP,DePaul,Missouri State,Ball State,Memphis,San Diego,Temple,Illinois State
78,83,78,74,65,77,72,64,58,81,75,58,61,85,71,76,74,68,70,45,72,74,62,61,76,84,73,55,70,70,68,75,61,61,58
"at Salt Lake City, UT","at Wichita, KS","at Tulsa, OK","at Des Moines, IA","at Louisville, KY","at Orlando, FL","at Lexington, KY","at Louisville, KY","at Washington, DC","at New Orleans, LA","at Dayton, OH","at Omaha, NE","at Winston-Salem, NC","at Greensboro, NC","at Boise, ID","at Raleigh, NC","at Oklahoma City, OK","at St. Louis, MO","at Greensboro, NC","at Cleveland, OH","at Milwaukee, WI","at Oklahoma City, OK","at Kansas City, MO","at Dallas, TX","at Dayton, OH","at Oklahoma City, OK","at Indianapolis, IN","at Dayton, OH","at Dayton, OH","at Austin, TX","at Indianapolis, IN","at South Bend, IN","at Indianapolis, IN","at Dayton, OH","at Tulsa, OK"
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Marquette,Clemson,Iowa State,Maryland,West Virginia,VCU,Oklahoma State,Wichita State,Kansas State,Temple,Florida State,Clemson,USC,Syracuse,Georgia Tech,Illinois,Mississippi State,Florida,Ohio State,Kentucky,Charlotte,TCU,Tulsa,Iowa State,Arizona,UCLA,Oklahoma State,Michigan State,Texas,Illinois,Arkansas,DePaul,Duke,Michigan State,Louisiana Tech
64,79,84,79,68,75,55,59,73,65,59,69,77,58,80,72,46,82,68,85,81,87,81,74,62,102,74,61,73,86,120,83,58,72,78
12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
Murray State,New Mexico State,Nevada,South Dakota State,Buffalo,Stephen F. Austin,Oregon,VCU,Utah State,Cornell,Wisconsin,Villanova,Arkansas,Texas A&M,George Washington,Murray State,Butler,Creighton,Utah State,St. Bonaventure,Rhode Island,Florida State,Boston University,California,Miami (OH),Tulsa,Marquette,Missouri State,St. Peter's,Dayton,Loyola Marymount,Wichita State,Texas A&M,Washington,Pitt
83,68,73,74,62,77,68,62,68,78,61,75,60,66,68,53,47,83,77,80,70,96,52,64,71,112,62,54,65,88,101,62,51,70,54
"at Hartford, CT","at San Diego, CA","at Milwaukee, WI","at Spokane, WA","at Columbus, OH","at San Diego, CA","at San Jose, CA","at Portland, OR","at Tucson, AZ","at Jacksonville, FL","at Boise, ID","at Tampa, FL","at Spokane, WA","at Jacksonville, FL","at Nashville, TN","at Columbus, OH","at Birmingham, AL","at Chicago, IL","at Greensboro, NC","at Cleveland, OH","at Milwaukee, WI","at Oklahoma City, OK","at Kansas City, MO","at Dallas, TX","at Dayton, OH","at Oklahoma City, OK","at Indianapolis, IN","at Dayton, OH","at Dayton, OH","at Austin, TX","at Indianapolis, IN","at South Bend, IN","at Indianapolis, IN","at Dayton, OH","at Tulsa, OK"
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
Florida State,Auburn,Purdue,California,Maryland,UCLA,Saint Louis,Indiana,Wisconsin,Wisconsin,Xavier,Vanderbilt,Texas,LSU,Louisville,Cincinnati,Louisville,Illinois,UCLA,Syracuse,Arizona,Ole Miss,Clemson,Utah,Virginia,Oklahoma State,Louisville,Cincinnati,St. John's (NY),Arkansas,Louisville,Kansas State,Missouri,Georgetown,Ohio State
76,62,80,66,65,76,64,79,72,53,77,62,79,80,68,80,86,93,61,79,60,69,68,72,96,65,76,85,75,68,76,66,69,70,75
13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
Vermont,College of Charleston,Vermont,Hawaii,Valparaiso,Tulsa,New Mexico State,New Mexico State,Belmont,Wofford,Portland State,Siena,New Mexico State,Iona,Louisiana,ETSU,Austin Peay,San Diego State,Hofstra,Samford,Oklahoma,Valparaiso,Miami (OH),Canisius,Nicholls State,New Mexico State,Delaware,Delaware,Northern Illinois,Princeton,Little Rock,La Salle,Xavier,Texas Tech,Iowa State
69,58,70,77,62,59,44,66,58,49,59,83,67,64,62,77,64,64,48,65,61,70,56,43,72,55,70,47,68,64,71,53,70,64,64
"at Hartford, CT","at San Diego, CA","at Milwaukee, WI","at Spokane, WA","at Columbus, OH","at San Diego, CA","at San Jose, CA","at Portland, OR","at Tucson, AZ","at Jacksonville, FL","at Boise, ID","at Tampa, FL","at Spokane, WA","at Jacksonville, FL","at Nashville, TN","at Columbus, OH","at Birmingham, AL","at Chicago, IL","at Greensboro, NC","at Cleveland, OH","at Milwaukee, WI","at Oklahoma City, OK","at Kansas City, MO","at Dallas, TX","at Dayton, OH","at Oklahoma City, OK","at Indianapolis, IN","at Dayton, OH","at Dayton, OH","at Austin, TX","at Indianapolis, IN","at South Bend, IN","at Indianapolis, IN","at Dayton, OH","at Tulsa, OK"
6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
Buffalo,TCU,Creighton,Arizona,Butler,Ohio State,Memphis,UNLV,St. John's (NY),Marquette,UCLA,USC,Vanderbilt,West Virginia,Texas Tech,UNC,Oklahoma State,Texas,USC,UCLA,Kansas,Clemson,Iowa State,Louisville,Memphis,Texas,California,Memphis,LSU,Xavier,Georgia Tech,Kansas,St. John's (NY),NC State,Texas Tech
91,52,72,55,56,59,54,64,71,78,65,67,77,64,78,63,77,70,69,65,95,72,69,82,77,91,66,80,62,87,70,85,57,66,53
11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
Arizona State,Syracuse,Rhode Island,Wichita State,Texas,Dayton,Saint Mary's,Colorado,Gonzaga,Washington,VCU,Kansas State,George Washington,Southern Illinois,UCLA,Air Force,Penn,Boston College,Oklahoma State,Ball State,Evansville,Western Michigan,Illinois State,Tulsa,Louisville,Western Kentucky,LSU,Pepperdine,UConn,Kansas State,Texas,Xavier,Wichita State,Iowa,Boston College
74,57,84,65,48,60,52,68,86,80,64,80,44,46,66,52,63,57,54,57,74,75,57,80,56,77,64,70,79,79,76,72,55,64,55
"at Tulsa, OK","at Detroit, MI","at Sacramento, CA","at Providence, RI","at Pittsburgh, PA","at Buffalo, NY","at Auburn Hills, MI","at Albuquerque, NM","at Denver, CO","at San Jose, CA","at Philadelphia, PA","at Omaha, NE","at Sacramento, CA","at Auburn Hills, MI","at Tucson, AZ","at Denver, CO","at Boston, MA","at Dallas, TX","at Uniondale, NY","at Minneapolis, MN","at New Orleans, LA","at Chicago, IL","at Auburn Hills, MI","at Milwaukee, WI","at Austin, TX","at Park City, KS","at Rosemont, IL","at Milwaukee, WI","at Minneapolis, MN","at Indianapolis, IN","at Dallas, TX","at Lincoln, NE","at Rosemont, IL","at Minneapolis, MN","at Houston, TX"
3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Texas Tech,Michigan State,Oregon,Miami (FL),Notre Dame,Syracuse,Michigan State,Baylor,BYU,New Mexico,Villanova,Wisconsin,Washington State,Iowa,Gonzaga,Texas,Syracuse,Mississippi State,Boston College,Maryland,Kentucky,Stanford,Cincinnati,Villanova,Purdue,Michigan,Duke,Arkansas,Nebraska,Georgetown,Missouri,NC State,DePaul,Notre Dame,Duke
72,82,93,79,69,77,65,68,74,62,80,71,70,63,74,66,76,70,68,74,82,67,86,92,49,78,105,80,84,70,85,75,76,83,75
14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
Northern Kentucky,Bucknell,Iona,Buffalo,Northeastern,Western Michigan,Valparaiso,South Dakota State,Wofford,Montana,American,Cal State Fullerton,Oral Roberts,Northwestern State,Winthrop,Princeton,Manhattan,McNeese State,Southern Utah,Iona,New Mexico State,College of Charleston,Butler,Portland,Green Bay,Pepperdine,Southern Illinois,Murray State,Xavier,Texas Southern,Creighton,Murray State,Louisiana Tech,Little Rock,Pepperdine
57,78,77,72,65,53,54,60,66,57,67,56,54,64,64,49,65,58,65,59,60,57,69,58,48,74,70,69,89,52,69,78,62,90,62
