school_common_name,seed,count,mean,std,min,25%,50%,75%,max,mean_wtDist,std_wtDist,min_wtDist,25%_wtDist,50%_wtDist,75%_wtDist,max_wtDist
Georgetown,1.0,3.0,401.36838374000007,124.01843589058008,303.62672544,331.61327528000004,359.59982512000005,450.2392128900001,540.8786006600002,401.36838374000007,124.01843589058008,303.62672544,331.61327528000004,359.59982512000005,450.2392128900001,540.8786006600002
Georgetown,2.0,4.0,178.659696775,80.0194166497143,96.67911389,117.8507772875,178.75600928,239.5649287675,260.44765465,133.99477258125,60.01456248728573,72.5093354175,88.38808296562499,134.06700696,179.673696575625,195.3357409875
Georgetown,3.0,3.0,390.95006330666666,86.5570182900109,324.43644023,342.01813267500006,359.59982512000005,424.206874845,488.81392457,195.47503165333333,43.27850914500545,162.218220115,171.00906633750003,179.79991256000002,212.1034374225,244.406962285
Georgetown,4.0,2.0,1364.94703457,1386.2213810836072,384.74049578,874.843765175,1364.94703457,1855.050303965,2345.15357336,341.2367586425,346.5553452709018,96.185123945,218.71094129375,341.2367586425,463.76257599125,586.28839334
Georgia,3.0,2.0,382.0872416100001,301.13928144301485,169.14961362000003,275.61842761500003,382.0872416100001,488.5560556050001,595.0248696000001,191.04362080500005,150.56964072150743,84.57480681000001,137.80921380750002,191.04362080500005,244.27802780250005,297.51243480000005
Georgia Tech,2.0,2.0,230.43543535,323.160788907376,1.9262501,116.180842725,230.43543535,344.690027975,458.9446206,172.8265765125,242.37059168053202,1.4446875750000001,87.13563204375001,172.8265765125,258.51752098125,344.20846545
Georgia Tech,3.0,2.0,535.32354392,186.78737536411103,403.24492416,469.28423404,535.32354392,601.3628538,667.40216368,267.66177196,93.39368768205551,201.62246208,234.64211702,267.66177196,300.6814269,333.70108184
Georgia Tech,4.0,2.0,846.4067213599999,980.1504074490771,153.33572167,499.871221515,846.4067213599999,1192.942221205,1539.47772105,211.60168033999997,245.03760186226927,38.3339304175,124.96780537875,211.60168033999997,298.23555530125,384.8694302625
Gonzaga,1.0,3.0,549.55293982,0.0,549.55293982,549.55293982,549.55293982,549.55293982,549.55293982,549.55293982,0.0,549.55293982,549.55293982,549.55293982,549.55293982,549.55293982
Gonzaga,2.0,2.0,229.39774578,0.0,229.39774578,229.39774578,229.39774578,229.39774578,229.39774578,172.048309335,0.0,172.048309335,172.048309335,172.048309335,172.048309335,172.048309335
Gonzaga,3.0,2.0,834.3179485549999,402.7185374423298,549.55293982,691.9354441875,834.3179485549999,976.7004529225,1119.08295729,417.15897427749996,201.3592687211649,274.77646991,345.96772209375,417.15897427749996,488.35022646125,559.541478645
Gonzaga,4.0,2.0,288.30060972499996,3.5545489901572718,285.78716403,287.0438868775,288.30060972499996,289.5573325725,290.81405542,72.07515243124999,0.8886372475393179,71.4467910075,71.760971719375,72.07515243124999,72.389333143125,72.703513855
Houston,3.0,1.0,446.19408768000005,,446.19408768000005,446.19408768000005,446.19408768000005,446.19408768000005,446.19408768000005,223.09704384000003,,223.09704384000003,223.09704384000003,223.09704384000003,223.09704384000003,223.09704384000003
Illinois,1.0,3.0,146.25416350666666,59.509236697666076,111.89648968,111.89648968,111.89648968,163.43300041999998,214.96951116,146.25416350666666,59.509236697666076,111.89648968,111.89648968,111.89648968,163.43300041999998,214.96951116
Illinois,3.0,3.0,386.23178618000003,153.66807509823352,209.41445442,335.593156535,461.77185865,474.64045206000003,487.5090454700001,193.11589309000001,76.83403754911676,104.70722721,167.7965782675,230.885929325,237.32022603000001,243.75452273500005
Illinois,4.0,5.0,591.505424256,640.436714562009,111.89648968,126.15695413,514.34605896,525.61151519,1679.51610332,147.876356064,160.10917864050225,27.97412242,31.5392385325,128.58651474,131.4028787975,419.87902583
Indiana,1.0,3.0,73.46469333,49.23826101250704,45.03697008,45.03697008,45.03697008,87.678554955,130.32013983,73.46469333,49.23826101250704,45.03697008,45.03697008,45.03697008,87.678554955,130.32013983
Indiana,2.0,3.0,1028.1535963866665,826.6845981584374,75.75133861,762.1923097299999,1448.63328085,1504.3547252749997,1560.0761696999996,771.1151972899997,620.0134486188281,56.813503957500004,571.6442322974999,1086.4749606374999,1128.2660439562496,1170.0571272749996
Indiana,3.0,1.0,601.7729586600002,,601.7729586600002,601.7729586600002,601.7729586600002,601.7729586600002,601.7729586600002,300.8864793300001,,300.8864793300001,300.8864793300001,300.8864793300001,300.8864793300001,300.8864793300001
Indiana,4.0,3.0,1463.4011982833333,622.8792041918897,747.42232106,1254.7872768349998,1762.1522326099996,1821.3906368949997,1880.62904118,365.85029957083333,155.71980104797242,186.855580265,313.69681920874996,440.5380581524999,455.34765922374993,470.157260295
Iowa,2.0,1.0,1250.00582699,,1250.00582699,1250.00582699,1250.00582699,1250.00582699,1250.00582699,937.5043702425,,937.5043702425,937.5043702425,937.5043702425,937.5043702425,937.5043702425
Iowa,3.0,1.0,432.59849019999996,,432.59849019999996,432.59849019999996,432.59849019999996,432.59849019999996,432.59849019999996,216.29924509999998,,216.29924509999998,216.29924509999998,216.29924509999998,216.29924509999998,216.29924509999998
Iowa,4.0,2.0,748.152431985,408.4392083758092,459.34229804,603.7473650125,748.152431985,892.5574989575,1036.96256593,187.03810799625,102.1098020939523,114.83557451,150.936841253125,187.03810799625,223.139374739375,259.2406414825
Iowa State,2.0,2.0,674.7343414799999,664.7753550195239,204.66717998,439.70076072999996,674.7343414799999,909.76792223,1144.80150298,506.05075610999995,498.58151626464297,153.50038498499998,329.77557054749997,506.05075610999995,682.3259416725,858.6011272349999
