school_common_name,school_full_name,team,city,state,type,conference,address,lng,lat,key_0,count_dist,mean_dist,std_dist,min_dist,25%_dist,50%_dist,75%_dist,max_dist,count_wtDist,mean_wtDist,std_wtDist,min_wtDist,25%_wtDist,50%_wtDist,75%_wtDist,max_wtDist
Pittsburgh,University of Pittsburgh,Panthers,Pittsburgh,Pennsylvania,State-related,Atlantic Coast Conference,University of Pittsburgh Pittsburgh Pennsylvania,-79.96243992762706,40.44415295,Pittsburgh,11.0,583.7656270800001,545.353261681539,1.46643556,208.65016809,447.48653936,678.4812086100001,1806.35035184,11.0,311.7117506947727,257.66039124874686,0.73321778,206.29827885499998,223.74326968,344.81740903,903.17517592
Oklahoma State,Oklahoma State University–Stillwater,Cowboys,Stillwater,Oklahoma,State,Big 12 Conference,Oklahoma State University–Stillwater Stillwater Oklahoma,-97.08853714697358,36.12958010000001,Oklahoma State,7.0,631.0919054585713,503.6596093912229,51.33145831,149.14768113,737.20076811,1096.4836940199998,1137.84836149,7.0,310.05724953535713,241.87173666861673,12.8328645775,111.86076084749999,284.4620903725,544.98353282875,559.4172044449998
North Carolina,University of North Carolina at Chapel Hill,Tar Heels,Chapel Hill,North Carolina,State,Atlantic Coast Conference,University of North Carolina at Chapel Hill Chapel Hill North Carolina,-79.04775326525106,35.90503535,North Carolina,26.0,456.92396990576924,602.275591663917,24.45716256,78.96693353500001,288.91266016,508.7987693575,2337.597702,26.0,307.1613704746154,353.8770262983326,24.45716256,72.014180401875,152.31667323,403.590950135625,1350.19568703
Louisville,University of Louisville,Cardinals,Louisville,Kentucky,State,Atlantic Coast Conference,University of Louisville Louisville Kentucky,-85.75725134140214,38.2167565,Louisville,14.0,826.5601316200001,758.417796153829,69.49413264,120.15451027,522.016883955,1402.1966725925004,1946.63728251,14.0,304.6082697017858,336.8229420403355,27.3356637175,72.622347268125,171.71587585000003,451.20194958312504,1052.4222764100002
Florida State,Florida State University,Seminoles,Tallahassee,Florida,State,Atlantic Coast Conference,Florida State University Tallahassee Florida,-84.29747867166263,30.44235995,Florida State,6.0,709.4959064566666,680.5032949707311,219.17619283,269.4435533025,420.24563472000006,865.3911588375,1964.35878343,6.0,294.9971767729167,342.33855535236734,105.06140868000001,109.588096415,159.8554568875,242.613141879375,982.179391715
Baylor,Baylor University,Bears,Waco,Texas,Private/Baptist,Big 12 Conference,Baylor University Waco Texas,-97.1102905567766,31.55043405,Baylor,4.0,569.5067160575001,259.4757939217954,324.57935556,405.38865411,517.2509683850001,681.3690303325,918.9455719,4.0,284.75335802875003,129.7378969608977,162.28967778,202.694327055,258.62548419250004,340.68451516625,459.47278595
BYU,Brigham Young University,Cougars,Provo,Utah,Private/Latter-Day Saints,West Coast Conference,Brigham Young University Provo Utah,-111.64965660160264,40.25501105,BYU,2.0,958.63253767,854.401097067988,354.4797280800001,656.556132875,958.63253767,1260.708942465,1562.78534726,2.0,283.9681004275,150.93651938736414,177.23986404000004,230.60398223375003,283.9681004275,337.33221862125004,390.696336815
Purdue,Purdue University,Boilermakers,West Lafayette,Indiana,State,Big Ten Conference,Purdue University West Lafayette Indiana,-86.92391089364378,40.43195815,Purdue,12.0,498.4042681458334,499.6458820124407,61.14912011,106.19230390000001,224.92387458,791.5163606475,1582.8183482999998,12.0,280.79121173770835,307.462160643372,45.861840082499995,73.00720893125,194.920975845,378.64096270125003,1136.25143802
Michigan State,Michigan State University,Spartans,East Lansing,Michigan,State,Big Ten Conference,Michigan State University East Lansing Michigan,-84.47791570930522,42.71856800000001,Michigan State,12.0,477.0959031283334,435.86582798072703,63.1934307,173.197845685,440.0549422,603.2844436174998,1627.0910320500002,12.0,277.84707826833335,177.9979071995833,31.59671535,162.00695397500002,257.21885559125,411.150705064375,602.3756885299998
Kansas,University of Kansas,Jayhawks,Lawrence,Kansas,State,Big 12 Conference,University of Kansas Lawrence Kansas,-95.2477503,38.958058,Kansas,29.0,395.2502363144827,246.68626493409874,37.25740516,197.87559495,271.21601408000004,592.8500711,1004.27845133,29.0,274.96630946379304,183.17179709369086,9.31435129,148.212517775,203.41201056000003,330.27888105750003,753.2088384975
