school_common_name,year,school_full_name,team,city,state,type,conference,address,lng,lat,weightedDist,count,mean,std,min,25%,50%,75%,max
Utah,2016.0,University of Utah,Utes,Salt Lake City,Utah,State,Pac-12 Conference,University of Utah Salt Lake City Utah,-111.8368719136826,40.7628137,215.29026031363819,7.0,673.5045361725195,445.56751136225347,324.07015856761564,377.32533959744603,533.4576414321026,795.9085180624613,1510.5362378881027
California,2016.0,"University of California, Berkeley",Golden Bears,Berkeley,California,State,Pac-12 Conference,"University of California, Berkeley Berkeley California",-122.26639872292525,37.87094645,169.68097912109508,1.0,678.7239164843803,,678.7239164843803,678.7239164843803,678.7239164843803,678.7239164843803,678.7239164843803
Iowa State,2016.0,Iowa State University,Cyclones,Ames,Iowa,State,Big 12 Conference,Iowa State University Ames Iowa,-93.64464414737448,42.02791015,179.75236662289032,5.0,738.3571403380417,447.18696958877536,184.81435194713063,543.3010769158856,719.0094664915613,839.3083271710126,1405.3524791646191
Wisconsin,2015.0,University of Wisconsin–Madison,Badgers,Madison,Wisconsin,State,Big Ten Conference,University of Wisconsin–Madison Madison Wisconsin,-89.4059387,43.07052570000001,421.3196032866717,8.0,601.2334792678565,536.2074207038306,92.22294542079756,133.32302962246402,421.3196032866717,990.3205287272267,1500.5034839240432
Notre Dame,2015.0,University of Notre Dame,Fighting Irish,South Bend,Indiana,Private/Catholic,Atlantic Coast Conference,University of Notre Dame South Bend Indiana,-86.23822026017265,41.70456775,198.08833905320355,3.0,321.5901766936388,207.786068175929,86.80593762762304,241.49130786701508,396.1766781064071,438.98229622664667,481.7879143468863
Maryland,2015.0,"University of Maryland, College Park",Terrapins,College Park,Maryland,State,Big Ten Conference,"University of Maryland, College Park College Park Maryland",-76.94610290199051,38.99203005,95.27422175182642,11.0,1311.9188216118457,1054.016529710431,8.249110006618928,325.65349152240753,1080.3184213359814,2315.4639585311133,2768.8121561946336
Georgetown,2015.0,Georgetown University,Hoyas,Washington,District of Columbia,Private/Catholic,Big East Conference,Georgetown University Washington District of Columbia,-77.07457962060826,38.90893925,715.91666250747,12.0,552.2843502012329,742.9378923584285,88.05780717503978,251.7629708075713,384.93233653237553,473.1981005823489,2863.66665002988
Syracuse,2014.0,Syracuse University,Orange,Syracuse,New York,Private/Methodist,Atlantic Coast Conference,Syracuse University Syracuse New York,-76.1333088275183,43.03830645,85.43398873035909,18.0,710.647127056174,848.2723364598646,1.0685466945199706,192.4215238449331,334.7323922105038,946.3407452872549,2865.8293898150737
Creighton,2014.0,Creighton University,Bluejays,Omaha,Nebraska,Private/Catholic,Big East Conference,Creighton University Omaha Nebraska,-95.94506420758655,41.26611060000001,376.4132657710331,1.0,752.8265315420662,,752.8265315420662,752.8265315420662,752.8265315420662,752.8265315420662,752.8265315420662
San Diego State,2014.0,San Diego State University,Aztecs,San Diego,California,State,Mountain West Conference,San Diego State University San Diego California,-117.07385052563076,32.77481589999999,231.3110623057943,2.0,652.9243694216735,385.11846731909765,380.6044896201698,516.7644295209217,652.9243694216735,789.0843093224254,925.2442492231772
