school_common_name,seed,count,mean,std,min,25%,50%,75%,max,mean_wtDist,std_wtDist,min_wtDist,25%_wtDist,50%_wtDist,75%_wtDist,max_wtDist
Boston College,4.0,2.0,1594.3798546476996,1326.8090275337727,656.1841939390404,1125.2820242933701,1594.3798546476996,2063.4776850020294,2532.575515356359,398.5949636619249,331.70225688344317,164.0460484847601,281.32050607334253,398.5949636619249,515.8694212505073,633.1438788390898
Butler,4.0,1.0,226.3290775244457,,226.3290775244457,226.3290775244457,226.3290775244457,226.3290775244457,226.3290775244457,56.58226938111142,,56.58226938111142,56.58226938111142,56.58226938111142,56.58226938111142,56.58226938111142
California,4.0,1.0,678.7239164843803,,678.7239164843803,678.7239164843803,678.7239164843803,678.7239164843803,678.7239164843803,169.68097912109508,,169.68097912109508,169.68097912109508,169.68097912109508,169.68097912109508,169.68097912109508
Cincinnati,1.0,1.0,292.81632534088845,,292.81632534088845,292.81632534088845,292.81632534088845,292.81632534088845,292.81632534088845,292.81632534088845,,292.81632534088845,292.81632534088845,292.81632534088845,292.81632534088845,292.81632534088845
Cincinnati,2.0,5.0,742.6567265902552,725.6665106052473,231.87926336950193,231.87926336950193,574.2315378171576,686.4221981017961,1988.8713702933185,556.9925449426913,544.2498829539355,173.90944752712645,173.90944752712645,430.6736533628682,514.816648576347,1491.653527719989
Cincinnati,3.0,2.0,547.5112789610237,442.0923755865178,234.90476227292686,391.20802061697526,547.5112789610237,703.814537305072,860.1177956491205,273.75563948051183,221.0461877932589,117.45238113646343,195.60401030848763,273.75563948051183,351.907268652536,430.05889782456023
Cincinnati,4.0,2.0,75.62548480654641,44.9043649352652,43.87330385594496,59.74939433124568,75.62548480654641,91.50157528184714,107.37766575714785,18.906371201636603,11.2260912338163,10.96832596398624,14.93734858281142,18.906371201636603,22.875393820461785,26.844416439286963
Clemson,4.0,2.0,446.0471315378539,472.1899862681618,112.15839023925392,279.1027608885539,446.0471315378539,612.9915021871539,779.9358728364539,111.51178288446347,118.04749656704045,28.03959755981348,69.77569022213848,111.51178288446347,153.24787554678846,194.98396820911347
Creighton,3.0,1.0,752.8265315420662,,752.8265315420662,752.8265315420662,752.8265315420662,752.8265315420662,752.8265315420662,376.4132657710331,,376.4132657710331,376.4132657710331,376.4132657710331,376.4132657710331,376.4132657710331
Dayton,4.0,1.0,2123.826606639457,,2123.826606639457,2123.826606639457,2123.826606639457,2123.826606639457,2123.826606639457,530.9566516598643,,530.9566516598643,530.9566516598643,530.9566516598643,530.9566516598643,530.9566516598643
DePaul,3.0,1.0,14.406784365257337,,14.406784365257337,14.406784365257337,14.406784365257337,14.406784365257337,14.406784365257337,7.203392182628669,,7.203392182628669,7.203392182628669,7.203392182628669,7.203392182628669,7.203392182628669
Duke,1.0,14.0,142.1363022193955,114.91460022072158,23.370402869022445,52.879952950645645,127.4226595727384,166.679928614806,390.4990094293298,142.1363022193955,114.91460022072158,23.370402869022445,52.879952950645645,127.4226595727384,166.679928614806,390.4990094293298
Duke,2.0,11.0,270.1838650069997,305.6207352451176,8.792190219847676,52.879952950645645,215.46332357909438,311.76541382929383,1050.483423131596,202.63789875524978,229.21555143383816,6.594142664885757,39.659964712984234,161.5974926843208,233.8240603719704,787.862567348697
Duke,3.0,5.0,843.7438329186043,789.5773912865791,23.370402869022445,366.2430307338771,668.5097496203864,1091.9440166504598,2068.6519647192754,421.87191645930216,394.78869564328954,11.685201434511223,183.12151536693855,334.2548748101932,545.9720083252299,1034.3259823596377
