seed,school_common_name,site,year,id,school_full_name,team,city,state,type,conference,address,lng,lat
3.0,Baylor,"Jacksonville, FL",2015.0,201575,Baylor University,Bears,Waco,Texas,Private/Baptist,Big 12 Conference,Baylor University Waco Texas,-97.1102905567766,31.55043405
4.0,Louisville,"Seattle, WA",2015.0,201576,University of Louisville,Cardinals,Louisville,Kentucky,State,Atlantic Coast Conference,University of Louisville Louisville Kentucky,-85.75725134140214,38.2167565
4.0,Maryland,"Columbus, OH",2015.0,201577,"University of Maryland, College Park",Terrapins,College Park,Maryland,State,Big Ten Conference,"University of Maryland, College Park College Park Maryland",-76.94610290199051,38.99203005
4.0,Georgetown,"Portland, OR",2015.0,201578,Georgetown University,Hoyas,Washington,District of Columbia,Private/Catholic,Big East Conference,Georgetown University Washington District of Columbia,-77.07457962060826,38.90893925
4.0,North Carolina,"Jacksonville, FL",2015.0,201579,University of North Carolina at Chapel Hill,Tar Heels,Chapel Hill,North Carolina,State,Atlantic Coast Conference,University of North Carolina at Chapel Hill Chapel Hill North Carolina,-79.04775326525107,35.90503535
1.0,Wichita State,"St. Louis, MO",2014.0,201480,Wichita State University,Shockers,Wichita,Kansas,State,American Athletic Conference,Wichita State University Wichita Kansas,-97.2933776,37.71918
1.0,Florida,"Orlando, FL",2014.0,201481,University of Florida,Gators,Gainesville,Florida,State,Southeastern Conference,University of Florida Gainesville Florida,-82.34901330482433,29.6328784
1.0,Virginia,"Raleigh, NC",2014.0,201482,University of Virginia,Cavaliers,Charlottesville,Virginia,State,Atlantic Coast Conference,University of Virginia Charlottesville Virginia,-78.50549960183568,38.0410576
1.0,Arizona,"San Diego, CA",2014.0,201483,University of Arizona,Wildcats,Tucson,Arizona,State,Pac-12 Conference,University of Arizona Tucson Arizona,-110.9768841153795,32.22877495
2.0,Michigan,"Milwaukee, WI",2014.0,201484,University of Michigan,Wolverines,Ann Arbor,Michigan,State,Big Ten Conference,University of Michigan Ann Arbor Michigan,-83.71003893509601,42.2942142
2.0,Kansas,"St. Louis, MO",2014.0,201485,University of Kansas,Jayhawks,Lawrence,Kansas,State,Big 12 Conference,University of Kansas Lawrence Kansas,-95.2477503,38.958058
2.0,Villanova,"Buffalo, NY",2014.0,201486,Villanova University,Wildcats,Radnor Township,Pennsylvania,Private/Catholic,Big East Conference,Villanova University Radnor Township Pennsylvania,-75.3401787,40.03575
2.0,Wisconsin,"Milwaukee, WI",2014.0,201487,University of Wisconsin–Madison,Badgers,Madison,Wisconsin,State,Big Ten Conference,University of Wisconsin–Madison Madison Wisconsin,-89.4059387,43.0705257
3.0,Duke,"Raleigh, NC",2014.0,201488,Duke University,Blue Devils,Durham,North Carolina,Private/Non-sectarian,Atlantic Coast Conference,Duke University Durham North Carolina,-78.94422972195878,36.00015569999999
3.0,Syracuse,"Buffalo, NY",2014.0,201489,Syracuse University,Orange,Syracuse,New York,Private/Methodist,Atlantic Coast Conference,Syracuse University Syracuse New York,-76.1333088275183,43.03830645
3.0,Iowa State,"San Antonio, TX",2014.0,201490,Iowa State University,Cyclones,Ames,Iowa,State,Big 12 Conference,Iowa State University Ames Iowa,-93.64464414737449,42.02791015
3.0,Creighton,"San Antonio, TX",2014.0,201491,Creighton University,Bluejays,Omaha,Nebraska,Private/Catholic,Big East Conference,Creighton University Omaha Nebraska,-95.94506420758655,41.2661106
4.0,Louisville,"Orlando, FL",2014.0,201492,University of Louisville,Cardinals,Louisville,Kentucky,State,Atlantic Coast Conference,University of Louisville Louisville Kentucky,-85.75725134140214,38.2167565
4.0,UCLA,"San Diego, CA",2014.0,201493,"University of California, Los Angeles",Bruins,Los Angeles,California,State,Pac-12 Conference,University of California Los Angeles California,-118.44667592924029,34.0709515
4.0,Michigan State,"Spokane, WA",2014.0,201494,Michigan State University,Spartans,East Lansing,Michigan,State,Big Ten Conference,Michigan State University East Lansing Michigan,-84.47791570930522,42.718568000000005
4.0,San Diego State,"Spokane, WA",2014.0,201495,San Diego State University,Aztecs,San Diego,California,State,Mountain West Conference,San Diego State University San Diego California,-117.07385052563076,32.77481589999999
1.0,Indiana,"Dayton, OH",2013.0,201396,Indiana University,Hoosiers,Bloomington,Indiana,State,Big Ten Conference,Indiana University Bloomington Indiana,-86.51623218881414,39.177980649999995
1.0,Louisville,"Lexington, KY",2013.0,201397,University of Louisville,Cardinals,Louisville,Kentucky,State,Atlantic Coast Conference,University of Louisville Louisville Kentucky,-85.75725134140214,38.2167565
1.0,Gonzaga,"Salt Lake City, UT",2013.0,201398,Gonzaga University,Bulldogs,Spokane,Washington,Private/Catholic,West Coast Conference,Gonzaga University Spokane Washington,-117.40304385396806,47.666738550000005
1.0,Kansas,"Kansas City, MO",2013.0,201399,University of Kansas,Jayhawks,Lawrence,Kansas,State,Big 12 Conference,University of Kansas Lawrence Kansas,-95.2477503,38.958058
2.0,Miami (FL),"Austin, TX",2013.0,2013100,University of Miami,Hurricanes,Coral Gables,Florida,Private/Non-Sectarian,Atlantic Coast Conference,University of Miami Coral Gables Florida,-80.27869157646253,25.7172788
2.0,Duke,"Philadelphia, PA",2013.0,2013101,Duke University,Blue Devils,Durham,North Carolina,Private/Non-sectarian,Atlantic Coast Conference,Duke University Durham North Carolina,-78.94422972195878,36.00015569999999
2.0,Ohio State,"Dayton, OH",2013.0,2013102,The Ohio State University,Buckeyes,Columbus,Ohio,State,Big Ten Conference,The Ohio State University Columbus Ohio,-83.02866259769122,40.00570905
2.0,Georgetown,"Philadelphia, PA",2013.0,2013103,Georgetown University,Hoyas,Washington,District of Columbia,Private/Catholic,Big East Conference,Georgetown University Washington District of Columbia,-77.07457962060826,38.90893925
3.0,Marquette,"Lexington, KY",2013.0,2013104,Marquette University,Golden Eagles,Milwaukee,Wisconsin,Private/Catholic,Big East Conference,Marquette University Milwaukee Wisconsin,-87.93155449905072,43.03889625
