school_common_name,seed,count,mean,std,min,25%,50%,75%,max,mean_wtDist,std_wtDist,min_wtDist,25%_wtDist,50%_wtDist,75%_wtDist,max_wtDist
Auburn,1.0,1.0,497.20864678,,497.20864678,497.20864678,497.20864678,497.20864678,497.20864678,497.20864678,,497.20864678,497.20864678,497.20864678,497.20864678,497.20864678
Auburn,4.0,1.0,1835.18196624,,1835.18196624,1835.18196624,1835.18196624,1835.18196624,1835.18196624,789.1282454832,,789.1282454832,789.1282454832,789.1282454832,789.1282454832,789.1282454832
BYU,3.0,1.0,354.4797280800001,,354.4797280800001,354.4797280800001,354.4797280800001,354.4797280800001,354.4797280800001,180.78466132080004,,180.78466132080004,180.78466132080004,180.78466132080004,180.78466132080004,180.78466132080004
BYU,4.0,1.0,1562.78534726,,1562.78534726,1562.78534726,1562.78534726,1562.78534726,1562.78534726,671.9976993217999,,671.9976993217999,671.9976993217999,671.9976993217999,671.9976993217999,671.9976993217999
Baylor,3.0,4.0,569.5067160575001,259.4757939217954,324.57935556,405.38865411,517.2509683850001,681.3690303325,918.9455719,290.448425189325,132.33265490011567,165.53547133560002,206.74821359610002,263.79799387635,347.498205469575,468.662241669
Boston College,3.0,1.0,168.54067004,,168.54067004,168.54067004,168.54067004,168.54067004,168.54067004,85.95574172040001,,85.95574172040001,85.95574172040001,85.95574172040001,85.95574172040001,85.95574172040001
Boston College,4.0,2.0,1315.9829997699999,1092.041809900678,543.79283065,929.8879152100001,1315.9829997699999,1702.07808433,2088.17316889,565.8726899011,469.5779782572914,233.8309171795,399.8518035403,565.8726899011,731.8935762619,897.9144626227
Butler,4.0,1.0,238.55054061,,238.55054061,238.55054061,238.55054061,238.55054061,238.55054061,102.5767324623,,102.5767324623,102.5767324623,102.5767324623,102.5767324623,102.5767324623
California,4.0,1.0,719.11887201,,719.11887201,719.11887201,719.11887201,719.11887201,719.11887201,309.2211149643,,309.2211149643,309.2211149643,309.2211149643,309.2211149643,309.2211149643
Cincinnati,1.0,1.0,256.72564236,,256.72564236,256.72564236,256.72564236,256.72564236,256.72564236,256.72564236,,256.72564236,256.72564236,256.72564236,256.72564236,256.72564236
Cincinnati,2.0,5.0,681.238853108,588.3035200780884,239.49502453,239.49502453,512.5689378999999,753.3564141100002,1661.27886447,490.49197423775996,423.5785344562236,172.4364176616,172.4364176616,369.04963528799993,542.4166181592001,1196.1207824183998
Cincinnati,3.0,2.0,496.292124555,341.7771351018091,254.61919467,375.45565961249997,496.292124555,617.1285894975,737.96505444,253.10898352305003,174.30633890192266,129.8557892817,191.482386402375,253.10898352305003,314.73558064372503,376.36217776440003
Cincinnati,4.0,2.0,72.84021547500001,37.03497334738643,46.65253468,59.746375077500005,72.84021547500001,85.93405587250001,99.02789627,31.32129265425,15.925038539376166,20.0605899124,25.690941283325,31.32129265425,36.951644025175,42.5819953961
Clemson,4.0,2.0,412.9072432100001,429.6127208400465,109.12517502,261.01620911500004,412.9072432100001,564.798277305,716.6893114000002,177.55011458030003,184.73346996121998,46.9238252586,112.23696991945002,177.55011458030003,242.86325924115005,308.17640390200006
Creighton,3.0,1.0,830.5866157,,830.5866157,830.5866157,830.5866157,830.5866157,830.5866157,423.59917400700004,,423.59917400700004,423.59917400700004,423.59917400700004,423.59917400700004,423.59917400700004
Dayton,4.0,1.0,1732.94779561,,1732.94779561,1732.94779561,1732.94779561,1732.94779561,1732.94779561,745.1675521123,,745.1675521123,745.1675521123,745.1675521123,745.1675521123,745.1675521123
DePaul,3.0,1.0,12.34042806,,12.34042806,12.34042806,12.34042806,12.34042806,12.34042806,6.2936183106,,6.2936183106,6.2936183106,6.2936183106,6.2936183106,6.2936183106
Duke,1.0,14.0,136.74422829714288,117.31146189087094,22.85402538,47.628087150000006,119.28459087,166.2182959275,421.79284851,136.74422829714288,117.31146189087094,22.85402538,47.628087150000006,119.28459087,166.2182959275,421.79284851
Duke,2.0,11.0,267.48326901818183,293.3424755657827,8.661911739999999,47.628087150000006,210.03582542,327.01202302499996,972.68173598,192.5879536930909,211.20658240736356,6.236576452799999,34.292222748,151.2257943024,235.448656578,700.3308499056
